Country,Longitude,Latitude
Jamaica,-77.3947693,18.1850507
Japan,139.2394179,36.5748441
Jordan,36.941628,31.1667049
Kazakhstan,66.7780818,48.1012954
Kenya,38.4313975,1.4419683
Kiribati,173.6641773,0.3448612
Kuwait,47.4979476,29.2733964
Kyrgyzstan,74.724091,41.5089324
Laos,103.378253,20.0171109
Latvia,24.7537645,56.8406494
Lebanon,35.843409,33.8750629
Lesotho,28.3350193,-29.6039267
Liberia,-9.3658524,5.7499721
Libya,18.1236723,26.8234472
Lithuania,23.7499997,55.3500003
Luxembourg,6.1296751,49.8158683
Madagascar,46.4416422,-18.9249604
Malawi,33.9301963,-13.2687204
Malaysia,102.2656823,4.5693754
Maldives,73.2244152,3.7203503
Mali,-2.2900239,16.3700359
Malta,14.4476911,35.8885993
Marshall Islands,167.7953224,8.230817
Mauritania,-9.2399263,20.2540382
Mauritius,57.5703566,-20.2759451
Mexico,-102.0077097,23.6585116
Micronesia (country),121.0698265,14.3113868
Moldova,28.5670941,47.2879608
Monaco,7.4276832,43.7323492
Mongolia,103.8499736,46.8250388
Montenegro,19.5180992,42.9868853
Morocco,-7.3362482,31.1728205
Mozambique,34.9144977,-19.302233
Myanmar,95.9999652,17.1750495
Namibia,17.3231107,-23.2335499
Nauru,166.9324426,-0.5252306
Nepal,84.0917139,28.1083929
Netherlands,5.6343227,52.2434979
New Zealand,172.8344077,-41.5000831
Nicaragua,-85.2936911,12.6090157
Niger,9.3238432,17.7356214
Nigeria,7.9999721,9.6000359
Niue,-169.861341,-19.0536414
North Korea,127.0870417,40.3736611
North Macedonia,21.7168387,41.6171214
Northern Mariana Islands,145.7379338,15.1753648
Norway,8.7876653,61.1529386
Oman,57.0036901,21.0000287
Pakistan,71.247499,30.3308401
Palau,132.9102573,5.3783537
Palestine,-95.6307891,31.7621153
Panama,-81.1308434,8.559559
Papua New Guinea,144.2489081,-5.6816069
Paraguay,-58.1693445,-23.3165935
Peru,-75.0458515,-6.8699697
Philippines,122.7312101,12.7503486
Poland,19.134422,52.215933
Portugal,-8.1353519,39.6621648
Puerto Rico,-66.4858295,18.2247706
Qatar,51.2295295,25.3336984
Romania,24.6859225,45.9852129
Russia,97.7453061,64.6863136
Rwanda,30.0644358,-1.9646631
Saint Kitts and Nevis,-62.6725973,17.250512
Saint Lucia,-60.975036,13.8250489
Saint Vincent and the Grenadines,-61.2765569,12.90447
Samoa,-172.12005,-13.7693895
San Marino,12.458306,43.9458623
Sao Tome and Principe,7.02255,0.9713095
Saudi Arabia,42.3528328,25.6242618
Senegal,-14.4529612,14.4750607
Serbia,20.55144,44.1534121
Seychelles,55.4540146,-4.6574977
Sierra Leone,-11.8400269,8.6400349
Singapore,103.8194992,1.357107
Slovakia,19.4528646,48.7411522
Slovenia,14.8153333,46.1199444
Solomon Islands,159.1070694,-8.7053941
Somalia,49.083416,8.3676771
South Africa,24.991639,-28.8166236
South Korea,127.6961188,36.638392
South Sudan,29.6667897,7.8699431
Spain,-4.8379791,39.3260685
Sri Lanka,80.7137847,7.5554942
Sudan,29.4917691,14.5844444
Suriname,-56.0771187,4.1413025
Sweden,14.5208584,59.6749712
Switzerland,8.2319736,46.7985624
Syria,39.0494106,34.6401861
Taiwan,120.9820179,23.9739374
Tajikistan,70.8156541,38.6281733
Tanzania,35.7878438,-6.5247123
Thailand,100.83273,14.8971921
Togo,1.0199765,8.7800265
Tokelau,-171.819687,-9.1676396
Tonga,-175.202642,-19.9160819
Trinidad and Tobago,-61.0840075,10.7466905
Tunisia,9.400138,33.8439408
Turkey,34.9249653,38.9597594
Turkmenistan,59.3924609,39.3763807
Tuvalu,179.1582918,-8.6405212
Uganda,32.2166578,1.5333554
Ukraine,31.2718321,49.4871968
United Arab Emirates,53.9994829,24.0002488
United Kingdom,-3.2765753,54.7023545
United States,-100.445882,39.7837304
United States Virgin Islands,-64.7080574,17.789187
Uruguay,-56.0201525,-32.8755548
Uzbekistan,63.9528098,41.32373
Vanuatu,168.1069154,-16.5255069
Venezuela,-66.1109318,8.0018709
Vietnam,107.9650855,15.9266657
Yemen,47.8915271,16.3471243
Zambia,27.5589884,-14.5189121
Zimbabwe,29.7468414,-18.4554963
